192,  255,  145,    0, 255
193,  254,  140,    0, 255
194,  254,  134,    0, 255
195,  253,  129,    0, 255
196,  252,  124,    0, 255
197,  251,  118,    0, 255
198,  250,  113,    0, 255
199,  249,  108,    0, 255
200,  248,  102,    0, 255
201,  247,   98,    0, 255
202,  245,   93,    0, 255
203,  244,   88,    0, 255
204,  243,   83,    0, 255
205,  241,   79,    0, 255
206,  240,   74,    0, 255
207,  239,   70,    0, 255
208,  237,   66,    0, 255
209,  235,   63,    0, 255
210,  234,   59,    0, 255
211,  232,   56,    0, 255
212,  230,   53,    0, 255
213,  229,   49,    0, 255
214,  227,   46,    0, 255
215,  225,   45,    2, 255
216,  224,   43,    4, 255
217,  222,   42,    5, 255
218,  221,   40,    7, 255
219,  219,   38,    9, 255
220,  217,   37,   11, 255
221,  216,   36,   13, 255
222,  215,   37,   16, 255
223,  215,   38,   20, 255
224,  214,   38,   23, 255
225,  213,   39,   26, 255
226,  212,   40,   29, 255
227,  212,   40,   33, 255
228,  212,   42,   36, 255
229,  212,   46,   41, 255
230,  213,   49,   45, 255
231,  213,   52,   49, 255
232,  214,   56,   53, 255
233,  214,   59,   57, 255
234,  215,   62,   62, 255
235,  216,   67,   66, 255
236,  218,   73,   71, 255
237,  219,   79,   76, 255
238,  221,   85,   81, 255
239,  223,   90,   86, 255
240,  224,   96,   91, 255
241,  226,  102,   96, 255
242,  228,  108,  100, 255
243,  231,  115,  104, 255
244,  233,  121,  107, 255
245,  235,  128,  111, 255
246,  238,  134,  115, 255
247,  240,  141,  118, 255
248,  243,  147,  122, 255
249,  245,  153,  124, 255
250,  246,  159,  125, 255
251,  248,  165,  126, 255
252,  250,  171,  128, 255
253,  251,  177,  129, 255
254,  253,  183,  130, 255
255,    0,    0,  255, 255
